"matricula","nome","cod_func_lotacao","desc_func_lotacao","cod_uor_localizacao","uor_trabalho","data_nasc","sexo","cod_est_civil","est_civil","data_posse","data_posse_incorp","cod_grau_instr","grau_instr","tempo_banco"
"92d7d5bfb22281421a13e91e6bb320cc","498d7f8404bdf113d50ea4250c1b55c2","16235",GER SEGMENTO UA,"8d4ba4cf88caf09bdaabcebb4f34a7d9","8d4ba4cf88caf09bdaabcebb4f34a7d9","1980-04-24",1,"2",CASADO(A),"2005-04-25",,7,POS-GRADUCAO-ESPEC,17
da2657b572fff560fe6954e5f4181a4d,"9bac84edeed32aee18ead74f5f7b7f44","394",CAIXA EXECUTIVO,"976d9bbe9bc487a4d9b6d1d21a1ef9da","6cdfd29dc0733638a9d00a82d23ce31c","1979-06-05",1,"2",CASADO(A),"2011-04-25",,5,SUPERIOR GRADUACAO,11
"04eb0c1e47138ab3d12a8c2028054b48",ba27eb8c2c0cac032f89046ecb8f0b9d,"394",CAIXA EXECUTIVO,"11bb31daf532958ac68aa90070a78aa7","481ec802df40287091da8c38217fdc41","1973-03-17",1,"1",SOLTEIRO(A),"2007-11-19",,2,ENSINO MEDIO,15
"22bea119ed3a33fd20a063ab9fe88bd7",a53d4391cfa2d62239a3174a35619cde,"394",CAIXA EXECUTIVO,ef3242a6f900ede54fb74b71be822e37,"9c843c11eea8c7bb32bdd54c111a7001","1959-09-20",1,"1",SOLTEIRO(A),"2009-12-01","1989-07-19",5,SUPERIOR GRADUACAO,13
"294eac124739942e646b55fe5201531f",cfae8cd8c9ac72fcbb7474e46cb46176,"394",CAIXA EXECUTIVO,"612b768cef375638fa5bf6d0e88a9262","17a64601edd623038f26e21966c27f32","1963-04-04",1,"2",CASADO(A),"2004-12-13",,2,ENSINO MEDIO,18
"295c57f5d83f59559eb05f5992bbaedc",a669781b00739f4eae8bdea818753443,"16450",ANALISTA TEC JR UA,c81545110d3c55bf7244a8086634145d,"33d4c93808ed80717d26b77d638a3985","1975-01-11",1,"1",SOLTEIRO(A),"2003-10-13",,7,POS-GRADUCAO-ESPEC,19
"4b2b9d3e08553f0434a25d7e2b020aba","823142d0e798c233e0160102d2708eb1","610",ESCRITURARIO,"54bff62713e574c1097f56646402832a","54bff62713e574c1097f56646402832a","1971-05-03",2,"2",CASADO(A),"2002-05-13",,5,SUPERIOR GRADUACAO,20
f7b13a3a1b681f902298c464ae3fab7e,"8e4eb2add2fef6905c532fa38999a53c","394",CAIXA EXECUTIVO,d6c625ffc79cd2e7e1668ff078053911,d6c625ffc79cd2e7e1668ff078053911,"1982-07-06",1,"1",SOLTEIRO(A),"2011-05-09",,7,POS-GRADUCAO-ESPEC,11
e081f8a299b829a0f0bbd877f6ced503,"7f4f51e5736355ea9fdf4de7fafd88de","16290",GER MODULO UA,"015b703ca5679b31b81772c9d0b7265b",afc291960035ffca7f7abd7a702b8ee7,"1986-03-20",1,"3",CASADO(A) COM FUNCIONARIA(O),"2007-12-03",,5,SUPERIOR GRADUACAO,15
"32228becfaaf714ef3b7a02fb97f9422",e46af1e5d6e0ed6d6bc0991660b5536f,"394",CAIXA EXECUTIVO,"9a439f5db9fab59d8f9e8042c4bf4d71",b1764b701064b5e69fe7bd99f7f7faca,"1974-01-23",1,"5",SEPARADO(A) JUDICIAL OU EXTRAJ,"2009-12-01","1992-09-01",2,ENSINO MEDIO,13
"793d2da73e816b390ba118e5b5fa5f06",b571bb0d31fa068a6ba130f18b2c3b55,"610",ESCRITURARIO,ad55e398ed3507d800f529e3d8dd4279,ad55e398ed3507d800f529e3d8dd4279,"1969-11-29",2,"2",CASADO(A),"1993-04-05",,7,POS-GRADUCAO-ESPEC,30
"251acd82337dc940c5c7b9b6f7828e96","8d7c5263fb9412ff07d7a200548751e0","16480",ASSIST OP JUNIOR UA,"3e2500c59ab4ea1d914ac27cec5ae528","678f4f67bcf11252b2729f83d6b80c53","1964-07-03",1,"1",SOLTEIRO(A),"2008-02-11",,7,POS-GRADUCAO-ESPEC,15
"03f55dd727b98bb5a65f763842a0f99e",ac87089d2f376010f2a9928bc61806e4,"16480",ASSIST OP JUNIOR UA,"484fbd27034fc755e2040ca83e29aeab","219fbfc052b11cd1d8420f7ac37edc65","1975-04-16",1,"1",SOLTEIRO(A),"2004-06-21",,5,SUPERIOR GRADUACAO,18
fbffc3675459d16749d9d9f408050806,"2bbf4e607d1cbb77a14917cd33a71fc6","16290",GER MODULO UA,d11002689802ad8a6e4631d8fa2b4cc1,"56dcf9e65ff78cf35f243c1279707c20","1964-06-01",1,"2",CASADO(A),"2007-05-07",,5,SUPERIOR GRADUACAO,15
f9754907e8cbe569acaeb47052424082,e7737c2350c3ef49a25ae77d8baf40fa,"610",ESCRITURARIO,"619ce5fef8ff39623f01c7fcb2fb8051","1abe5e081fef63c87139072a6e98c976","1977-10-03",1,"1",SOLTEIRO(A),"2010-08-02",,2,ENSINO MEDIO,12
"6bdfff10024c8d3fb402a3d57303be15",ecc8d3b3e2522bd35f1aef52755b8e00,"394",CAIXA EXECUTIVO,d4ce44f39a4a99bb1fe0f14e5330e6d4,d4ce44f39a4a99bb1fe0f14e5330e6d4,"1965-05-12",1,"2",CASADO(A),"2008-10-01","1984-04-02",2,ENSINO MEDIO,14
f67276e9b2f1870962ce17068d93483b,"384702017298b51d6ec99bb03153a1f6","16290",GER MODULO UA,df1fdab9688c6da1635d03ef4b680474,"6cedb8374aecca543cf3ca2b966649ea","1974-04-27",1,"2",CASADO(A),"2010-03-01",,7,POS-GRADUCAO-ESPEC,13
"8a5b1fb1566c2483a27764f5e1f0902d",a62fdf0fea5d49cbf296d32bd762f2d5,"394",CAIXA EXECUTIVO,"4c22eee729922b827bc7ff33abe4e627",bd5f681bd75c522cb7cbd88d22af16d5,"1974-08-30",2,"2",CASADO(A),"2008-10-01","2007-10-19",7,POS-GRADUCAO-ESPEC,14
"5be59b20c63d4168385e9d71861f16f9","9e42877671236f3cf57e547272840302","16480",ASSIST OP JUNIOR UA,a4c84b105ee7aa2211dd294d26db9ecf,"186169ddb68c86949f0273dc5d86be4d","1961-09-21",2,"1",SOLTEIRO(A),"2003-06-09",,5,SUPERIOR GRADUACAO,19
d9782a39a2f76939f431dcef0d9e2e1a,bf9b770588d81e27766310eb6972aac0,"394",CAIXA EXECUTIVO,e1442a13441f59b335f291a243f4c593,beb5ad322e679d0a6045c6cfc56e8b92,"1967-11-04",1,"1",SOLTEIRO(A),"2000-04-10",,2,ENSINO MEDIO,22
"2469e061e92fc0691633463bf0a96d0b","3059f8c1c1d5771db53e4b090f0765d4","16290",GER MODULO UA,"41f87c79a2fb369fdb2aa2a1060a9a83","15e112546e8833db3441aaad5a0e568e","1967-05-07",1,"2",CASADO(A),"1988-02-22",,5,SUPERIOR GRADUACAO,35
"7a2f2af5def8f5b02bd38495fa2d6c65","25f75f8af9a54577efbb8890b4444ce9","394",CAIXA EXECUTIVO,"8cb65df87209b2a70239966a5812aae5",c01eb786b743fd9011dbbd689fffb97c,"1969-10-13",2,"1",SOLTEIRO(A),"2000-07-17",,7,POS-GRADUCAO-ESPEC,22
c17b0958703ec73a627ed03fa935309b,f2713968ccad17d56c2e30e7e6e4e2e9,"394",CAIXA EXECUTIVO,ebffc1d97891265b684a188d90f26a15,"0f22a1a20d95694c83cfac65d6b6140c","1987-09-02",1,"3",CASADO(A) COM FUNCIONARIA(O),"2011-06-06",,5,SUPERIOR GRADUACAO,11
"6d3b11018d1b89d115a0ebcb22dab95f","9b54eba04c0a77a06918d2534c91ca1d","16460",ASSIST OP PLENO UA,afa73512a045b8492d94152050b80273,"99dd11bd115491c0f9a5d6157d744b6d","1979-04-21",1,"8",DIVORCIADO(A),"2006-07-24",,2,ENSINO MEDIO,16
ebfcffbb4361fc162354e10b0c061b23,aec66a128bf77eab5009354af0e5a32b,"394",CAIXA EXECUTIVO,"9d19d20219e29aef565e397173294b57","4f9c73a23ff018d86379f4e58381c74e","1990-03-20",1,"1",SOLTEIRO(A),"2012-08-13",,7,POS-GRADUCAO-ESPEC,10
"424b10343c8b29d84d0bc1870a6bfa6d",ba7804880368403d43be34579fc13708,"394",CAIXA EXECUTIVO,"5d0dab7be5ba51a596800d6e920ebbfe",cb8596f66a4f5ed72d434ad1eded68c2,"1968-09-18",1,"1",SOLTEIRO(A),"2009-12-01","2004-06-14",5,SUPERIOR GRADUACAO,13
"905f78f445905cf4f848aed8a5e8c288",c420d6be65548c9c74fcf60e2463fc51,"394",CAIXA EXECUTIVO,"8a48e241f2c22a1f335c2149eef73868",b8de58f3ee5ed6e68e931dbd312e3844,"1970-05-24",1,"1",SOLTEIRO(A),"2009-07-20",,3,SUPERIOR EM ANDAMENTO,13
bbd73879d2cd240d3cb4ccdb877fbaef,b0e166338b59b00ff3a3e6348c0b702c,"16460",ASSIST OP PLENO UA,b84a25d15d9d44f58640a485c1387df8,"153a719109d5901f816d699f83ba381e","1971-10-10",2,"2",CASADO(A),"2006-02-06",,7,POS-GRADUCAO-ESPEC,17
"9f93680fa952523d14897c8d0412f227",a3682172abbe7af0a76a702cda7fb4ff,"394",CAIXA EXECUTIVO,a4c84b105ee7aa2211dd294d26db9ecf,cf74b361abbd77e73448bc536c6d6add,"1977-10-12",1,"2",CASADO(A),"2005-05-09",,5,SUPERIOR GRADUACAO,17
"8b542d086d8574240cf452209fbec3f7",b171c6923ef7ab9c59618ed4f461390d,"610",ESCRITURARIO,"8248d8c42ead095f7c01078c0fb4b2b9",a815a34ac231c45891c85d7f42dbd9ee,"1977-08-18",1,"2",CASADO(A),"2009-09-14",,7,POS-GRADUCAO-ESPEC,13
db266556e8f5acf6a03122158c07021e,"594bcf9338052506001304e8f04c577d","394",CAIXA EXECUTIVO,"8afc0327c6d499ed20c99d2a2502c7b9","41c0fb7d37adb58e9cc4b4a82e8a0f46","1976-06-27",1,"1",SOLTEIRO(A),"2004-11-29",,2,ENSINO MEDIO,18
"4619490f1cce17096ea3b31c583df323","47491f396bc5373b736ebcc42bf41637","16481",ASSIST OP JUNIOR UA,cbbb18efb6e9789c7b1476058c231bd5,"18e8a2db76ff3b9ce4c27cb64dfdd083","1985-01-03",1,"8",DIVORCIADO(A),"2011-05-02",,7,POS-GRADUCAO-ESPEC,11
"1ec55b6ed9d50722304bc627465a82e4",d9124128fc737d3d88a115105b5b2d16,"16460",ASSIST OP PLENO UA,b84a25d15d9d44f58640a485c1387df8,"5d09476048e54ef6bc7186123f625e0d","1979-11-11",1,"1",SOLTEIRO(A),"2007-07-23",,7,POS-GRADUCAO-ESPEC,15
db7e1abb7c3cd09b1d5e7bef896e6dee,"3b747a808f85f99007892c50982c954f","610",ESCRITURARIO,b931cd950e55b4ac10fe4d88fe3665b8,ed8614299f485bd8c7c0bb01921e3df2,"1964-01-01",1,"2",CASADO(A),"2001-10-15",,5,SUPERIOR GRADUACAO,21
"59294ec501163a95d6c27b45801b48bb",d7bcb78eb4d5612fbcc1b50a891b62bd,"16261",GER SETOR UA,b5dd0e4351a65a23e2a13bf0483fe8cc,b4e319a5809529b60a7cef032ca381bb,"1982-10-26",1,"2",CASADO(A),"2005-07-11",,7,POS-GRADUCAO-ESPEC,17
d3a7a5ee404fb329f9c37aad37a1e4cd,be6b155c0f215eda5c9b806a3ffb42dd,"394",CAIXA EXECUTIVO,"8a48e241f2c22a1f335c2149eef73868","903c2537bba3bf1902a63e304a3e820d","1954-05-31",1,"2",CASADO(A),"2009-12-01","1989-08-21",2,ENSINO MEDIO,13
"783dd96b8246a6bf2ea5168b93dc56bd","2d8d710db285bd763922dd3833a820fb","394",CAIXA EXECUTIVO,"93a1767b32f01d0843c8f747f7567710","1745b3f87170fab69098843e56dfe278","1976-04-01",1,"2",CASADO(A),"2001-05-28",,3,SUPERIOR EM ANDAMENTO,21
"751b5a75829bb3d0b64b911cb021ea81","393b3fc835310681ee3047126af4ee96","394",CAIXA EXECUTIVO,cd3ae697a7a2f79d3909f2f6c41b51c7,cd3ae697a7a2f79d3909f2f6c41b51c7,"1965-08-29",1,"2",CASADO(A),"1987-08-11",,7,POS-GRADUCAO-ESPEC,35
"42d0858a92e791cba58a8aa159053fb8",eef0c7a4759c966aabf212cb4ceeaa0e,"394",CAIXA EXECUTIVO,e473198a574557fccbb85f6501bbc440,"9e729e6ab4da49efccdcffa9e622541e","1967-09-02",1,"8",DIVORCIADO(A),"2005-04-11",,5,SUPERIOR GRADUACAO,17
"8da111d3909012fb7db336258034a01a","5195e9996bb37e4dc7e42761a81865d4","16460",ASSIST OP PLENO UA,"3e2500c59ab4ea1d914ac27cec5ae528","73c91bcc0d7c705ea1a20969d38d5609","1967-10-15",2,"1",SOLTEIRO(A),"2008-08-18",,5,SUPERIOR GRADUACAO,14
f8dad10e0378527fe5c007ce2d31ba9c,"64bc568369e6bcbc21cafca6340cd409","394",CAIXA EXECUTIVO,"9d19d20219e29aef565e397173294b57","836aa60cbc8b6680ece2c061d252f566","1975-08-09",1,"2",CASADO(A),"2009-10-19",,5,SUPERIOR GRADUACAO,13
be9eafe4d6920b2ea661e23c17ec618b,"8093f0e3a9d27cc47733ad1f8a7bd914","394",CAIXA EXECUTIVO,b09e9b8f288432a0628bf7a6f1b8ed42,b09e9b8f288432a0628bf7a6f1b8ed42,"1976-06-06",1,"1",SOLTEIRO(A),"2002-12-16",,7,POS-GRADUCAO-ESPEC,20
dd68f24b5d4b05bc75ee841f80b35d97,"6a6104a87af4bff2dc73b3c79cadee5f","394",CAIXA EXECUTIVO,"5eafe1ca2f671c9a88421427ee1e7254",f701e828d19a044141575d21a17ad2b8,"1963-12-09",1,"2",CASADO(A),"2011-03-28",,5,SUPERIOR GRADUACAO,12
"5e32b2e1b8a914429aa23bd26a2e1c9b","8c9baaee3dc45ba721922d08c4968807","16460",ASSIST OP PLENO UA,b84a25d15d9d44f58640a485c1387df8,"92c776ef63bf1523f034f666ba57071b","1966-12-12",1,"1",SOLTEIRO(A),"2000-07-03",,2,ENSINO MEDIO,22
"352697df1fc597ab68a22afdc674e1e2","94c4bff94ce61d4f270b7b5192564250","16262",GER SETOR UA,e10d9154a2265dfbe56646110c37192d,e10d9154a2265dfbe56646110c37192d,"1968-09-19",1,"2",CASADO(A),"1988-02-24",,7,POS-GRADUCAO-ESPEC,35
e9779e1375c96973d55ba9aa3dadbfe2,"72cd6d0708f6b4de2ddc79d7fba836f0","394",CAIXA EXECUTIVO,"616fc8538fee3610ac91c81b5741c321","9f279b2d8ecae82e2b61df4fd4ae3b15","1981-11-22",1,"1",SOLTEIRO(A),"2009-12-01","2001-10-22",2,ENSINO MEDIO,13
"67e3556f82cdd6f1ce1a52de84e2d603",d892335487d002640f47923a93948b0b,"16480",ASSIST OP JUNIOR UA,b84a25d15d9d44f58640a485c1387df8,"9efceb7cf03bb3bc0d2ad62071f106e0","1967-11-26",1,"2",CASADO(A),"2001-05-28",,5,SUPERIOR GRADUACAO,21
cbec822ad7a7404a4b511dd61d7cdda0,"3ffc00753f6c568b71edb0e9635d20c9","16290",GER MODULO UA,fa99ccdbea597263a88f27075bd6eb49,"04ba6e8b782f58c789c379dfe0bdbbe8","1967-08-14",1,"2",CASADO(A),"2009-12-01","1989-08-08",7,POS-GRADUCAO-ESPEC,13
"7c8228d06de7f3ee86e520d6a0ec9f88","35f187966ee513825b88c250aeb456ec","16290",GER MODULO UA,f616c6e498ae3b7742ccbf810d0c5b64,"556125a1dc2a65ec1052ef61b9dd7ba4","1966-12-21",1,"1",SOLTEIRO(A),"2000-05-15",,7,POS-GRADUCAO-ESPEC,22
dc233a8c35ef7b88e06851bee1a7ec87,"384cf38ce772d48a16d1600d786b5971","16290",GER MODULO UA,d8204bc04fcbeb4144ccec2c2ef50445,"452a2ba0222b03eaef9b8ad4a8fe4d40","1971-02-19",1,"2",CASADO(A),"2000-04-10",,5,SUPERIOR GRADUACAO,22
"9ca333183765bb26dcdb82d31694a107",fe97d58d7450d0fa204483dc123a3d97,"394",CAIXA EXECUTIVO,"18b8bd04718b9d0267eb008db1276a37","3f441337dff3d9292a098957b51d3797","1985-04-04",1,"2",CASADO(A),"2009-12-01","2006-07-24",3,SUPERIOR EM ANDAMENTO,13
"44378ca54da3526ccdb772ebee7a9000",e7b1e25d610f023b14a90fb398b2c72d,"16480",ASSIST OP JUNIOR UA,cbbb18efb6e9789c7b1476058c231bd5,"2ec1e12db4761e17c1e430fbae5e09f8","1975-10-23",1,"1",SOLTEIRO(A),"2007-09-24",,7,POS-GRADUCAO-ESPEC,15
dfb21a12d7907f983ca63b86640d5763,c29a1eb7cfe8e81ffb098856e48380ab,"16290",GER MODULO UA,b84a25d15d9d44f58640a485c1387df8,"2b22764d6f74c94457d20072122998fd","1987-09-03",1,"2",CASADO(A),"2014-07-07",,7,POS-GRADUCAO-ESPEC,8
"70394d053363eff982371078963e9e68",b486b7ba221d43b1e13c7e2f7df8f88a,"394",CAIXA EXECUTIVO,d6ad0e3164c390aa401ffc3784199479,"933e343d62cf86757324f5c268b2c095","1989-02-19",1,"1",SOLTEIRO(A),"2012-06-11",,7,POS-GRADUCAO-ESPEC,10
"46ab4034390de696350f90701b2e91c4","51c2f164219959850453e0672d2e4251","16222",GER SEGMENTO UA,ad55e398ed3507d800f529e3d8dd4279,ad55e398ed3507d800f529e3d8dd4279,"1972-06-12",1,"1",SOLTEIRO(A),"2002-05-13",,7,POS-GRADUCAO-ESPEC,20
"4c1bb2c9dbd5daf1db4379dd36836113",e308d42e646fc07d48e0ad7298ad35d6,"16290",GER MODULO UA,"090566b632793e6424e58433b6cf570c","0117b9787036a28a5c9ad681150ae66f","1973-09-25",1,"2",CASADO(A),"2004-01-12",,7,POS-GRADUCAO-ESPEC,19
e8858a833d7e90212bb940fcd6a3b9dd,d1e063aa3f9dd017ef64416efade6332,"394",CAIXA EXECUTIVO,d8204bc04fcbeb4144ccec2c2ef50445,"4fe1da7edf7d1235bfa2a5714b2a76f7","1962-06-08",1,"8",DIVORCIADO(A),"2007-09-24",,5,SUPERIOR GRADUACAO,15
"1a5544b88311c6596d55e87d873e5662","94243afd7f36be356af06fc9ec0a2507","610",ESCRITURARIO,"612b768cef375638fa5bf6d0e88a9262","17a64601edd623038f26e21966c27f32","1971-10-05",1,"1",SOLTEIRO(A),"2003-08-18",,3,SUPERIOR EM ANDAMENTO,19
"7ee8162d7b2eb75fab843a83b995622a","72ab5af796a588f266b20d79cce3209b","394",CAIXA EXECUTIVO,"0d1a85e948c599cddea15b17d930a76a","5316fa79b9396265313870b3ed7b596f","1970-01-21",1,"2",CASADO(A),"2004-07-05",,7,POS-GRADUCAO-ESPEC,18
"64d9f62301ed6cbc6edb6a3217109f3b","3e332651ba07946cdd7a1db4be448a44","16290",GER MODULO UA,"9d19d20219e29aef565e397173294b57","9d19d20219e29aef565e397173294b57","1987-02-26",1,"1",SOLTEIRO(A),"2011-01-31",,7,POS-GRADUCAO-ESPEC,12
ba252133f810da4f10a4fb089ea1d2ee,"0d782b4a1a588a15efe179a24a04c68c","4935",ASSIST.A UA,afa73512a045b8492d94152050b80273,d8a9573e0bfd0aeff8629f26d7726694,"1967-07-18",1,"2",CASADO(A),"2002-11-18",,7,POS-GRADUCAO-ESPEC,20
"3f6530bfaa8c685978e9dafee2885a05","09f7102e5e39421e3b9e572ba1338e7e","16290",GER MODULO UA,"93a1767b32f01d0843c8f747f7567710",e9b08ff3064e378eec8ee0d3b928570a,"1971-09-03",1,"1",SOLTEIRO(A),"2001-11-19",,5,SUPERIOR GRADUACAO,21
de49c962bc2c052485ed76fc90fa847f,d12706f213123af1afe892ca8d544b37,"394",CAIXA EXECUTIVO,"9a439f5db9fab59d8f9e8042c4bf4d71","7bc0a5e370358cab46005ca4eb7c4788","1962-09-22",1,"4",VIUVO(A),"2006-11-06",,5,SUPERIOR GRADUACAO,16
"2933a8a3cb314ef7c3bd80cb9e6e565d","3317da179ac6333d8fdf431ee3db419e","16290",GER MODULO UA,"05d9badacfacac78a47cc067c4e90353","05d9badacfacac78a47cc067c4e90353","1975-06-14",1,"2",CASADO(A),"2001-01-08",,7,POS-GRADUCAO-ESPEC,22
e19d6f14b3928591c998ebc9cdf3275e,"5777ade7c10586bdafd3b4668de7ea25","610",ESCRITURARIO,"8a48e241f2c22a1f335c2149eef73868",eed4b7c86ac8bc0d0c50ec17af9ee623,"1952-09-01",1,"2",CASADO(A),"2010-05-03",,5,SUPERIOR GRADUACAO,12
"6691aab8a7548c395d99a710def8c156",e262ae5b64d7d650b170910033e8d012,"610",ESCRITURARIO,"9d11d610e7bf008dddfcf19ddd3a19b2",e30f9ffd3ece272b3276d172949a1d81,"1972-06-22",1,"2",CASADO(A),"2010-06-07",,7,POS-GRADUCAO-ESPEC,12
"13f9d716a98a0d20dc64ff43727493af",a650bb0d196dc19eb6b0e27894db3d85,"394",CAIXA EXECUTIVO,"8afc0327c6d499ed20c99d2a2502c7b9","18dc2aa306574480d292c7b0210f7545","1965-02-02",1,"1",SOLTEIRO(A),"2009-12-01","2000-03-21",3,SUPERIOR EM ANDAMENTO,13
"350c2078aae098c4fd5ea399809305a2","0f71455b42681beaa672eeec514081f6","394",CAIXA EXECUTIVO,"5bfc6e7b646f90dc6869863795b308b3","194407814ebcc76ede06cbdba57d16d5","1970-04-24",1,"8",DIVORCIADO(A),"2009-12-01","1990-04-05",5,SUPERIOR GRADUACAO,13
"8bdf9506d59aca99c5055ab92faaa638","6cb35676d82cb21116392fe9ba6eaa9b","394",CAIXA EXECUTIVO,"2ce44dc8871c7f1fa1cb76c7f8b756a8","956ecb5cdf6639adc0ec70df115219c7","1973-09-21",1,"1",SOLTEIRO(A),"2004-10-04",,2,ENSINO MEDIO,18
"78fcbeedb3f84cc6997526ba80654c06","30d18444419226a12df64f17b4927c0c","394",CAIXA EXECUTIVO,cae4ef6ab52e80148e97a6df5759d387,b037c26efb84a04675688f2ef9d2af9e,"1968-02-26",1,"2",CASADO(A),"1993-04-12",,5,SUPERIOR GRADUACAO,29
"03f56a65f0ace709a2d04766bcf444cf",fd3a91fb661390e1e4734195138c5587,"4961",ASSIST.B UA,cbbb18efb6e9789c7b1476058c231bd5,db4eb28664d25b868d4f67181e1ba382,"1967-12-31",1,"2",CASADO(A),"2000-11-06",,5,SUPERIOR GRADUACAO,22
"3d5ca0f637554a2596d90e0dbb4e697f","7ad93f7ca13d86700d6317b7808ccd2c","394",CAIXA EXECUTIVO,"940af5b63a832bd68ebbc70ee0fe22fe",a6cd3550e6ba71f30f2db15a5d971c9c,"1971-03-18",1,"8",DIVORCIADO(A),"2005-01-17",,7,POS-GRADUCAO-ESPEC,18
"1c2bd8daa6eef5709a294be7d94f279f",f34aefa322a94fa5fb71fff5740374ed,"16290",GER MODULO UA,fe16afd293bc4038086fbdf74718d077,"90e74eed6075f78d19c66f2a6df01579","1969-06-05",1,"2",CASADO(A),"2007-09-03",,5,SUPERIOR GRADUACAO,15
"58cc8e4e02686ddcb6a976142ea09394",ff962a1c593e3d24fbffe2b67d4fe9c4,"12331",ASSESSOR I UE,"9a405a7732ab4f806431a48f6398a7cb",e0ffd6dba9137f0771725b14124e00cd,"1969-03-21",1,"2",CASADO(A),"2000-03-27",,7,POS-GRADUCAO-ESPEC,23
bf82db5d268693fb3c5584a7a9f32f94,"87e9ae3112b04cbd9ccdad26c7132d63","394",CAIXA EXECUTIVO,"0d1a85e948c599cddea15b17d930a76a","5316fa79b9396265313870b3ed7b596f","1965-08-15",1,"2",CASADO(A),"2010-10-18",,7,POS-GRADUCAO-ESPEC,12
"328d2d4a47dbde3ad552de577ca66092","95ad8f5ac71275e0dfe7fb40d7840fd2","16460",ASSIST OP PLENO UA,b84a25d15d9d44f58640a485c1387df8,"7391775de4a36571b569436a82d7196b","1979-12-03",1,"2",CASADO(A),"2015-08-24",,7,POS-GRADUCAO-ESPEC,7
b578e81cd0127e5a46ddc6cd33a616c0,d40cb73131648f5bd95dd5d13970ddba,"4935",ASSIST.A UA,afa73512a045b8492d94152050b80273,"4d1d349aa7b99d89c5e633b8331766af","1974-01-17",1,"5",SEPARADO(A) JUDICIAL OU EXTRAJ,"2004-05-03",,7,POS-GRADUCAO-ESPEC,18
